"time","depth","mag","place"
"2024-01-27T05:52:48.419Z",90,6.1,"15 km W of Taxisco, Guatemala"
"2024-01-27T09:33:17.652Z",10,5.4,"south of Java, Indonesia"
"2024-01-27T16:13:56.297Z",10,5.4,"156 km NE of Neiafu, Tonga"
"2024-01-27T18:29:49.816Z",163.893,5,"102 km SSE of Sarangani, Philippines"
"2024-01-27T23:59:29.184Z",70.051,5.1,"11 km W of Ichihara, Japan"
"2024-01-28T09:38:56.538Z",621.081,6.5,"70 km W of Tarauacá, Brazil"
"2024-01-28T18:11:23.160Z",7.2,5.1,"48 km SW of Hualien City, Taiwan"
"2024-01-29T07:37:21.407Z",10,5.1,"116 km ENE of Barcelona, Philippines"
"2024-01-29T22:27:41.948Z",10,5.7,"128 km WNW of Aykol, China"
"2024-01-30T13:10:13.605Z",102.026,5.1,"South Sandwich Islands region"
"2024-01-30T18:05:27.752Z",41.461,5,"157 km NW of Ternate, Indonesia"
"2024-01-31T10:49:35.461Z",176,5.8,"264 km SW of Houma, Tonga"
